table_name	column_name	data_type
MILESTONE_REPORT_V	WC_SAP_WBS_EXPENSE	STRING
MILESTONE_REPORT_V	WC_SAP_WBS_CAPITAL	STRING
MILESTONE_REPORT_V	WC_SAP_STATUS	STRING
MILESTONE_REPORT_V	WC_SAP_LOG	STRING
MILESTONE_REPORT_V	WC_REQUESTOR_COST_CENTER	STRING
MILESTONE_REPORT_V	WC_RESPONDER_COST_CENTER	STRING
MILESTONE_REPORT_V	WC_CONTRACTOR	STRING
MILESTONE_REPORT_V	WC_CITY	STRING
MILESTONE_REPORT_V	WC_STATE	STRING
MILESTONE_REPORT_V	WC_ZIP	STRING
MILESTONE_REPORT_V	WC_CLLI	STRING
MILESTONE_REPORT_V	WC_STREET	STRING
MILESTONE_REPORT_V	WC_LOCATION	STRING
MILESTONE_REPORT_V	WC_ROUTE_OH	FLOAT64
MILESTONE_REPORT_V	WC_ROUTE_UG	FLOAT64
MILESTONE_REPORT_V	WC_DTAPS_UG	INT64
MILESTONE_REPORT_V	WC_DTAPS_OH	INT64
MILESTONE_REPORT_V	DELIVERABLE_ID	INT64
MILESTONE_REPORT_V	DELIVERABLE_INTERNAL_NAME	STRING
MILESTONE_REPORT_V	DELIVERABLE_PROPOSED_START	STRING
MILESTONE_REPORT_V	DELIVERABLE_PROPOSED_END	STRING
MILESTONE_REPORT_V	DELIVERABLE_ACTUAL_START	STRING
MILESTONE_REPORT_V	DELIVERABLE_ACTUAL_END	STRING
MILESTONE_REPORT_V	DELIVERABLE_STATUS	STRING
MILESTONE_REPORT_V	DELIVERABLE_CREATED_AT	TIMESTAMP
MILESTONE_REPORT_V	ADDRESS_COUNT	INT64
MILESTONE_REPORT_V	PREM_COUNT	INT64
TEST_TICKET_OVERVIEW_V	TICKET_PROPERTIES_ID	STRING
TEST_TICKET_OVERVIEW_V	TICKET_CREATOR_USERNAME	STRING
TEST_TICKET_OVERVIEW_V	TICKET_ASSIGNED_USERNAME	STRING
TEST_TICKET_OVERVIEW_V	TICKET_STATUS	STRING
TEST_TICKET_OVERVIEW_V	TICKET_TYPE	STRING
TEST_TICKET_OVERVIEW_V	TICKET_TYPE_CATEGORY	STRING
TEST_TICKET_OVERVIEW_V	TICKET_CANCELLED_DATETIME	DATETIME
TEST_TICKET_OVERVIEW_V	TICKET_CREATED_DATETIME	DATETIME
TEST_TICKET_OVERVIEW_V	TICKET_ASSIGNED_DATETIME	DATETIME
TEST_TICKET_OVERVIEW_V	TICKET_LAST_MODIFIED_DATETIME	DATETIME
TEST_TICKET_OVERVIEW_V	TICKET_GROUP	STRING
TEST_TICKET_OVERVIEW_V	TICKET_REGION	STRING
TEST_TICKET_OVERVIEW_V	TICKET_UPDATE_DATETIME	DATETIME
TEST_TICKET_OVERVIEW_V	TICKET_START_DATETIME	DATETIME
TEST_TICKET_OVERVIEW_V	TICKET_DUE_DATETIME	DATETIME
TEST_TICKET_OVERVIEW_V	TICKET_TICKET_DETAILS	STRING
TEST_TICKET_OVERVIEW_V	TICKET_ONSITE_DATETIME	DATETIME
TEST_TICKET_OVERVIEW_V	TICKET_PROJECT	STRING
TEST_TICKET_OVERVIEW_V	PARENT_TICKET_PROJECT_NAME	STRING
TEST_TICKET_OVERVIEW_V	PARSED_CLLI	STRING
TEST_TICKET_OVERVIEW_V	WC_TICKET_CLLI	STRING
TEST_TICKET_OVERVIEW_V	WC_TICKET_ID	STRING
TEST_TICKET_OVERVIEW_V	WC_PROPERTIES_TICKET_GROUP	STRING
TEST_TICKET_OVERVIEW_V	WC_PROFILE	STRING
TEST_TICKET_OVERVIEW_V	WC_COMPANY_CODE	STRING
TEST_TICKET_OVERVIEW_V	WC_INVESTMENT_YEAR	STRING
TEST_TICKET_OVERVIEW_V	WC_APPROVAL_YEAR	INT64
TEST_TICKET_OVERVIEW_V	WC_SAP_PROJECT_NUMBER	STRING
TEST_TICKET_OVERVIEW_V	WC_SAP_WBS_EXPENSE	STRING
TEST_TICKET_OVERVIEW_V	WC_SAP_WBS_CAPITAL	STRING
TEST_TICKET_OVERVIEW_V	WC_SAP_STATUS	STRING
TEST_TICKET_OVERVIEW_V	WC_SAP_LOG	STRING
TEST_TICKET_OVERVIEW_V	WC_REQUESTOR_COST_CENTER	STRING
TEST_TICKET_OVERVIEW_V	WC_RESPONDER_COST_CENTER	STRING
TEST_TICKET_OVERVIEW_V	WC_START_DATE_PLANNING	STRING
TEST_TICKET_OVERVIEW_V	WC_END_DATE_PLANNING	DATETIME
TEST_TICKET_OVERVIEW_V	WC_START_DATE_SURVEY	DATETIME
TEST_TICKET_OVERVIEW_V	WC_END_DATE_SURVEY	DATETIME
TEST_TICKET_OVERVIEW_V	WC_START_DATE_PERMIT	DATETIME
TEST_TICKET_OVERVIEW_V	WC_END_DATE_PERMIT	DATETIME
TEST_TICKET_OVERVIEW_V	WC_START_DATE_CONSTRUCTION	DATETIME
TEST_TICKET_OVERVIEW_V	WC_END_DATE_CONSTRUCTION	DATETIME
TEST_TICKET_OVERVIEW_V	WC_CONTRACTOR	STRING
TEST_TICKET_OVERVIEW_V	WC_CITY	STRING
TEST_TICKET_OVERVIEW_V	WC_STATE	STRING
TEST_TICKET_OVERVIEW_V	WC_ZIP	STRING
TEST_TICKET_OVERVIEW_V	WC_STREET	STRING
TEST_TICKET_OVERVIEW_V	WC_LOCATION	STRING
TEST_TICKET_OVERVIEW_V	WC_ROUTE_OH	FLOAT64
TEST_TICKET_OVERVIEW_V	WC_ROUTE_UG	FLOAT64
TEST_TICKET_OVERVIEW_V	WC_DTAPS_UG	INT64
TEST_TICKET_OVERVIEW_V	WC_DTAPS_OH	INT64
TEST_TICKET_OVERVIEW_V	SURVEY_PROPERTIES_ID	STRING
TEST_TICKET_OVERVIEW_V	SURVEY_ACTUAL_START_DATE	DATETIME
TEST_TICKET_OVERVIEW_V	SURVEY_ACTUAL_END_DATE	DATETIME
TEST_TICKET_OVERVIEW_V	DTAP_PROPERTIES_ID	INT64
TEST_TICKET_OVERVIEW_V	DTAP_TICKET_ID	STRING
