table_name,column_name,is_nullable,data_type
ScenarioSummary_BOM_Wed_May_17_2023,ADDRESSES_UNSERVED,YES,INT64
ScenarioSummary_BOM_Wed_May_17_2023,COST_PER_PREM,YES,FLOAT64
ScenarioSummary_BOM_Wed_May_17_2023,LABOR,YES,FLOAT64
ScenarioSummary_BOM_Wed_May_17_2023,MATERIAL,YES,FLOAT64
BRSPD_PREMS_V,SCENARIO_ID,YES,INT64
BRSPD_PREMS_V,SCENARIO_TITLE,YES,STRING
BRSPD_PREMS_V,WC_CLLI,YES,STRING
BRSPD_PREMS_V,INITIAL_DESIGN_ADDR_CT,YES,INT64
BRSPD_PREMS_V,INITIAL_DESIGN_PREM_CT,YES,INT64
BRSPD_PREMS_V,CONSTRUCTION_START_ADDR_CT,YES,INT64
BRSPD_PREMS_V,CONSTRUCTION_START_PREM_CT,YES,INT64
BRSPD_PREMS_V,PREM_PASS_ADDR_CT,YES,INT64
BRSPD_PREMS_V,PREM_PASS_PREM_CT,YES,INT64
BRSPD_PREMS_V,OFS_ADDR_CT,YES,INT64
BRSPD_PREMS_V,OFS_PREM_CT,YES,INT64
ADDRESSABLE_PREMS_V,SOURCE,YES,STRING
ADDRESSABLE_PREMS_V,STATE,YES,STRING
ADDRESSABLE_PREMS_V,WC,YES,STRING
ADDRESSABLE_PREMS_V,MONTH,YES,DATE
ADDRESSABLE_PREMS_V,CT,YES,INT64
ADDRESS_POLY_20221231,STR_NUM,YES,STRING
ADDRESS_POLY_20221231,STR,YES,STRING
ADDRESS_POLY_20221231,UNIT_DES,YES,STRING
ADDRESS_POLY_20221231,UNIT_NUM,YES,STRING
ADDRESS_POLY_20221231,CITY,YES,STRING
ADDRESS_POLY_20221231,STATE,YES,STRING
ADDRESS_POLY_20221231,ZIP,YES,INT64
ADDRESS_POLY_20221231,ZIP4,YES,STRING
ADDRESS_POLY_20221231,ZBA_PR_USE,YES,STRING
ADDRESS_POLY_20221231,CNTY_FIPS,YES,INT64
ADDRESS_POLY_20221231,ADDR_CONF,YES,INT64
ADDRESS_POLY_20221231,ID,YES,INT64
ADDRESS_POLY_20221231,STATUS,YES,STRING
ADDRESS_POLY_20221231,AVAILABILTY_DATE,YES,STRING
ADDRESS_POLY_20221231,SERVING_WIRE_CENTER_CLLI,YES,STRING
ADDRESS_POLY_20221231,SERVING_WIRE_CENTER_NAME,YES,STRING
ADDRESS_POLY_20221231,SERVICE_TYPE,YES,STRING
SAP_BRSPD_V,COMPANY_CODE,YES,STRING
SAP_BRSPD_V,DOCUMENT_NO,YES,STRING
SAP_BRSPD_V,DOCUMENT_LINE_NO,YES,STRING
SAP_BRSPD_V,DOCUMENT_UNIQUE,YES,STRING
SAP_BRSPD_V,FISCAL_YEAR,YES,STRING
SAP_BRSPD_V,STATE,YES,STRING
SAP_BRSPD_V,DOCUMENT_DATE,YES,DATE
SAP_BRSPD_V,DOCUMENT_TYPE,YES,STRING
SAP_BRSPD_V,POSTING_DATE,YES,DATE
SAP_BRSPD_V,VENDOR_INVOICE_NO,YES,STRING
SAP_BRSPD_V,OBJECT,YES,STRING
SAP_BRSPD_V,ACDOCA_OBJECT,YES,STRING
SAP_BRSPD_V,OBJECT_DESCRIPTION,YES,STRING
SAP_BRSPD_V,WBS,YES,STRING
SAP_BRSPD_V,MATERIAL_LINE_ITEM_CODE,YES,STRING
SAP_BRSPD_V,PURCHASE_ORDER,YES,STRING
SAP_BRSPD_V,MATERIAL_LINE_ITEM_DESCRIPTION,YES,STRING
SAP_BRSPD_V,COST_ELEMENT,YES,STRING
SAP_BRSPD_V,COST_ELEMENT_NAME,YES,STRING
SAP_BRSPD_V,OFFSETTING_ACCOUNT,YES,STRING
SAP_BRSPD_V,REG_ACCOUNT,YES,STRING
SAP_BRSPD_V,REG_ACCOUNT_DESCRIPTION,YES,STRING
SAP_BRSPD_V,VAL_CO_AREA_CRCY,YES,NUMERIC
SAP_BRSPD_V,OPERATION_FLAG,YES,STRING
SAP_BRSPD_V,SAP_TICKET_ID,YES,STRING
SAP_BRSPD_V,TICKET_PROPERTIES_ID,YES,STRING
SAP_BRSPD_V,TICKET_STATUS,YES,STRING
SAP_BRSPD_V,TICKET_TYPE,YES,STRING
SAP_BRSPD_V,TICKET_TYPE_CATEGORY,YES,STRING
SAP_BRSPD_V,TICKET_CREATED_DATETIME,YES,DATETIME
SAP_BRSPD_V,TICKET_START_DATETIME,YES,DATETIME
SAP_BRSPD_V,TICKET_DUE_DATETIME,YES,DATETIME
SAP_BRSPD_V,TICKET_CREATOR_USERNAME,YES,STRING
SAP_BRSPD_V,TICKET_ASSIGNED_USERNAME,YES,STRING
SAP_BRSPD_V,TICKET_ASSIGNED_DATETIME,YES,DATETIME
SAP_BRSPD_V,TICKET_REGION,YES,STRING
SAP_BRSPD_V,PARENT_TICKET_PROJECT_NAME,YES,STRING
SAP_BRSPD_V,PARSED_CLLI,YES,STRING
SAP_BRSPD_V,WC_TICKET_CLLI,YES,STRING
